title,people,genre,release_date
Sphere,"actor: Bernard Hocke, actor: Dustin Hoffman, actor: Huey Lewis, actor: James Pickens Jr., actor: Liev Schreiber, actor: Marga Gómez, actor: Michael Keys Hall, actor: Peter Coyote, actor: Queen Latifah, actor: Ralph Tabakin, actor: Samuel L. Jackson, actor: Sharon Stone, composer: Elliot Goldenthal, director: Adam Greenberg, director: Barry Levinson, director: Gary Capo",{'genres: Science Fiction'},1998-02-13
The Angry Birds Movie,"actor: Alex Borstein, actor: Ali Wong, actor: Anthony Padilla, actor: Ava Acres, actor: Bill Hader, actor: Billy Eichner, actor: Blake Shelton, actor: Charli XCX, actor: Cristela Alonzo, actor: Danielle Brooks, actor: Danny McBride, actor: Fergal Reilly, actor: Fred Tatasciore, actor: Geoffrey Arend, actor: Hannibal Buress, actor: Ian Hecox, actor: Ike Barinholtz, actor: Jason Sudeikis, actor: Jillian Bell, actor: Josh Gad, actor: Judah Friedlander, actor: Kate McKinnon, actor: Keegan-Michael Key, actor: Kevin Bigley, actor: Max Charles, actor: Maya Rudolph, actor: Mckenna Grace, actor: Peter Dinklage, actor: Romeo Santos, actor: Sean Penn, actor: Tituss Burgess, actor: Tony Hale, director: Clay Kaytis, director: Fergal Reilly, writer: Jon Vitti","{'genres: Family', 'genres: Animation'}",2016-05-11
Fool's Gold,"actor: Adam LeFevre, actor: Alexis Dziena, actor: Brian Hooks, actor: David Roberts, actor: Donald Sutherland, actor: Elizabeth Connolly, actor: Ewen Bremner, actor: Harli Ames, actor: Kate Hudson, actor: Kevin Hart, actor: Malcolm-Jamal Warner, actor: Matthew McConaughey, actor: Michael Mulheren, actor: Ray Winstone, actor: Roger Sciberras, actor: Rohan Nichol, actor: Tom O'Sullivan, composer: George Fenton, director: Andy Tennant, director: Don Burgess, director: Ray Chan","{'genres: Romance', 'genres: Adventure', 'genres: Comedy'}",2008-02-07
Funny People,"actor: Adam J. Bernstein, actor: Adam Sandler, actor: Al Lubel, actor: Allan Wasserman, actor: Andrea Zonn, actor: Andy Dick, actor: Arshad Aslam, actor: Aubrey Plaza, actor: Aziz Ansari, actor: Ben Meyerson, actor: Bo Burnham, actor: Brad Grunberg, actor: Brian Lally, actor: Bryan Batt, actor: Budd Friedman, actor: Ca'Shawn Sims, actor: Calvin Sykes, actor: Carla Gallo, actor: Carol Leifer, actor: Charles Fleischer, actor: Da'Vone McDonald, actor: Dan Harmon, actor: Dave Attell, actor: Dave Rath, actor: Elaine Kao, actor: Eleanor Zee, actor: Eminem, actor: Eric Bana, actor: Ernest Lee Thomas, actor: George Coe, actor: George Wallace, actor: Iris Apatow, actor: James Gadson, actor: James Taylor, actor: Jarrett Grode, actor: Jason Schwartzman, actor: Jerry Minor, actor: Jimmy Johnson, actor: Joanie Marx, actor: John Hartmann, actor: Jon Brion, actor: Jonah Hill, actor: Justin Long, actor: Kenny Copeland Jr., actor: King Kedar, actor: Kyle Kinane, actor: Leslie Mann, actor: Lucas Dick, actor: Luis Conte, actor: Maggie Siff, actor: Mandi Kreisher, actor: Mark Cohen, actor: Mark Schiff, actor: Maude Apatow, actor: Mike O'Connell, actor: Miki Ishikawa, actor: Monty Hoffman, actor: Nicol Paone, actor: Nicole Parker, actor: Norm Macdonald, actor: Nydia McFadden, actor: Orny Adams, actor: Paul Reiser, actor: Phillip Andre Botello, actor: Qiana Chase, actor: RZA, actor: Ray Romano, actor: Rod Man, actor: Russ Kunkel, actor: Sammy Jack, actor: Sarah Silverman, actor: Seth Rogen, actor: Steve Bannos, actor: Tanya Acker, actor: Tonita Castro, actor: Torsten Voges, actor: Tyler Spindel, actor: Wayne Federman, composer: Jason Schwartzman, composer: Michael Andrews, director: Janusz Kamiński, director: Judd Apatow, writer: Judd Apatow","{'genres: Drama', 'genres: Comedy'}",2009-07-31
The Kingdom,"actor: Ali Suliman, actor: Amy Hunter, actor: Anna Deavere Smith, actor: Ashraf Barhom, actor: Chris Cooper, actor: Danny Huston, actor: Frances Fisher, actor: Jamie Foxx, actor: Jason Bateman, actor: Jennifer Garner, actor: Jeremy Piven, actor: Kelly AuCoin, actor: Kyle Chandler, actor: Minka Kelly, actor: Omar Berdouni, actor: Raad Rawi, actor: Richard Jenkins, actor: Tim McGraw, actor: Tj Burnett, composer: Danny Elfman, director: Mauro Fiore, director: Peter Berg","{'genres: Thriller', 'genres: Action', 'genres: Drama'}",2007-08-22
Talladega Nights: The Ballad of Ricky Bobby,"actor: Adam McKay, actor: Amy Adams, actor: Andy Richter, actor: Austin Crim, actor: David Koechner, actor: Ed Lauter, actor: Elvis Costello, actor: Gary Cole, actor: Ian Roberts, actor: Jack McBrayer, actor: Jake Johnson, actor: Jane Lynch, actor: Jason Davis, actor: John C. Reilly, actor: John D. King, actor: Leslie Bibb, actor: Lorrie Bess Crumley, actor: Luke Bigham, actor: Michael Clarke Duncan, actor: Molly Shannon, actor: Pat Hingle, actor: Sacha Baron Cohen, actor: Will Ferrell, actor: Yasiin Bey, composer: Alex Wurman, director: Adam McKay, director: Oliver Wood",{'genres: Comedy'},2006-08-04
Dr. Dolittle 2,"actor: Adam Vernier, actor: Andy Dick, actor: Andy Richter, actor: Anne Stedman, actor: Arnold Schwarzenegger, actor: Bob Odenkirk, actor: Brie Hill Arbaugh, actor: Cedric the Entertainer, actor: Chris Marley, actor: Crystal the Monkey, actor: David Cross, actor: David L. Lander, actor: Denise Dowse, actor: Doug Seus, actor: E.J. Wessel, actor: Eddie Murphy, actor: Frankie Muniz, actor: Georgia Engel, actor: Googy Gress, actor: Hal Sparks, actor: James Avery, actor: Jamie Kennedy, actor: Jeffrey Jones, actor: Jodi Essex, actor: Joey Lauren Adams, actor: John DiMaggio, actor: John Witherspoon, actor: Ken Hudson Campbell, actor: Kevin Pollak, actor: Kristen Wilson, actor: Kyla Pratt, actor: Lawrence Pressman, actor: Lil' Zane, actor: Lisa Kudrow, actor: Lisa Marie Hugueley, actor: Louise Osbourne, actor: Mandy Moore, actor: Mark Griffin, actor: Michael McKean, actor: Mike Epps, actor: Raven-Symoné, actor: Reni Santoni, actor: Renée Taylor, actor: Shaun Robinson, actor: Tom Kenny, actor: Tommy Bush, actor: Victor Raider-Wexler, composer: David Newman, director: Aldric La'Auli Porter, director: Bruce Crone, director: Daryn Okada, director: Steve Carr","{'genres: Fantasy', 'genres: Family', 'genres: Romance', 'genres: Comedy'}",2001-06-22
Braveheart,"actor: Alan Tall, actor: Alex Norton, actor: Alun Armstrong, actor: Andrew Weir, actor: Angus Macfadyen, actor: Barry McGovern, actor: Bernard Horsfall, actor: Brendan Gleeson, actor: Brian Cox, actor: Catherine McCormack, actor: David Gant, actor: David McKay, actor: David O'Hara, actor: Dean Lopata, actor: Donal Gibson, actor: Gerard McSorley, actor: Gerda Stevenson, actor: Graeme Ford, actor: Greg Jeloudov, actor: Ian Bannen, actor: James Cosmo, actor: James Robinson, actor: Jeanne Marine, actor: Jer O'Leary, actor: Jimmy Chisholm, actor: Jimmy Keogh, actor: Joe Savino, actor: John Kavanagh, actor: John Murtagh, actor: Julie Austin, actor: Liam Carney, actor: Mal Whyte, actor: Malcolm Tierney, actor: Martin Dempsey, actor: Martin Murphy, actor: Mel Gibson, actor: Mhairi Calvey, actor: Michael Byrne, actor: Niall O'Brien, actor: Patrick McGoohan, actor: Paul Tucker, actor: Peter Hanly, actor: Peter Mullan, actor: Ralph Riach, actor: Rana Morrison, actor: Richard Leaf, actor: Rupert Vansittart, actor: Sandy Nelson, actor: Sean Lawlor, actor: Sean McGinley, actor: Sophie Marceau, actor: Stephen Billington, actor: Tam White, actor: Tommy Flanagan, actor: William Scott-Masson, composer: James Horner, director: Anna Rackard, director: Brendan Rankin, director: Clare Langan, director: Daniel T. Dorrance, director: John Toll, director: Mel Gibson, director: Padraig O'Neill","{'genres: History', 'genres: War', 'genres: Action', 'genres: Drama'}",1995-05-24
Jarhead,"actor: Brian Geraghty, actor: Chris Cooper, actor: Craig Coyne, actor: Damion Poitier, actor: Dendrie Taylor, actor: Dennis Haysbert, actor: Honorine Bell, actor: Jake Gyllenhaal, actor: James Morrison, actor: Jamie Foxx, actor: Jocko Sims, actor: John Krasinski, actor: Katherine Randolph, actor: Kevin Foster, actor: Laz Alonso, actor: Lucas Black, actor: Ming Lo, actor: Peter Sarsgaard, actor: Riad Galayini, actor: Scott MacDonald, composer: Jim Morrison, composer: Thomas Newman, director: Roger Deakins, director: Sam Mendes","{'genres: War', 'genres: Drama'}",2005-11-04
The Simpsons Movie,"actor: Albert Brooks, actor: Billie Joe Armstrong, actor: Dan Castellaneta, actor: Hank Azaria, actor: Harry Shearer, actor: Joe Mantegna, actor: Julie Kavner, actor: Karl Wiedergott, actor: Kelsey Grammer, actor: Maggie Roswell, actor: Maile Flanagan, actor: Marcia Wallace, actor: Mike Dirnt, actor: Nancy Cartwright, actor: Pamela Hayden, actor: Philip Rosenthal, actor: Russi Taylor, actor: Tom Hanks, actor: Tre Cool, actor: Tress MacNeille, actor: Yeardley Smith, composer: Hans Zimmer, director: David Silverman, director: Gary McCarver, director: Matthew Schofield","{'genres: Family', 'genres: Animation', 'genres: Comedy'}",2007-07-25
The Majestic,"actor: Bob Balaban, actor: Brent Briscoe, actor: Brian Howe, actor: Bruce Campbell, actor: Catherine Dent, actor: David Ogden Stiers, actor: Gerry Black, actor: Hal Holbrook, actor: James Whitmore, actor: Jeffrey DeMunn, actor: Jim Carrey, actor: Karl Bury, actor: Laurie Holden, actor: Martin Landau, actor: Matt Damon, actor: Ron Rifkin, actor: Susan Willis, composer: Mark Isham, director: David Tattersall, director: Frank Darabont","{'genres: Romance', 'genres: Drama'}",2001-12-21
Driven,"actor: Brent Briscoe, actor: Burt Reynolds, actor: Chip Ganassi, actor: Cristián de la Fuente, actor: Dan Duran, actor: Estella Warren, actor: Gina Gershon, actor: Jasmin Wagner, actor: John Della Penna, actor: Kip Pardue, actor: Phillip MacKenzie, actor: Renny Harlin, actor: Robert Sean Leonard, actor: Stacy Edwards, actor: Sylvester Stallone, actor: Til Schweiger, actor: Verona Pooth, composer: BT, director: Mauro Fiore, director: Renny Harlin",{'genres: Action'},2001-04-27
Two Brothers,"actor: Annop Varapanya, actor: Bernard Flavien, actor: David Gant, actor: Freddie Highmore, actor: Guy Pearce, actor: Jaran 'See Tao' Petcharoen, actor: Jean-Claude Dreyfus, actor: Maï Anh Le, actor: Moussa Maaskri, actor: Oanh Nguyen, actor: Philippine Leroy-Beaulieu, actor: Somjin Chimwong, actor: Stéphanie Lagarde, actor: Teerawat Mulvilai, actor: Vincent Scarito, composer: Stephen Warbeck, director: Jean-Jacques Annaud, director: Jean-Marie Dreujou","{'genres: Family', 'genres: Adventure', 'genres: Drama'}",2004-04-07
The Village,"actor: Adrien Brody, actor: Brendan Gleeson, actor: Bryce Dallas Howard, actor: Celia Weston, actor: Cherry Jones, actor: Fran Kranz, actor: Frank Collison, actor: Jayne Atkinson, actor: Jesse Eisenberg, actor: Joaquin Phoenix, actor: John Christopher Jones, actor: Judy Greer, actor: M. Night Shyamalan, actor: Michael Pitt, actor: Sigourney Weaver, actor: William Hurt, composer: James Newton Howard, director: Alison Cohen Rosa, director: Charley Beal, director: Hinju Kim, director: James C. Feng, director: John Rusk, director: M. Night Shyamalan, director: Michael Manson, director: Roger Deakins, director: W. Steven Graham, writer: M. Night Shyamalan","{'genres: Thriller', 'genres: Mystery', 'genres: Drama'}",2004-07-30
Doctor Dolittle,"actor: Beth Grant, actor: Crystal the Monkey, actor: Eddie Murphy, actor: Jeffrey Tambor, actor: Kristen Wilson, actor: Kyla Pratt, actor: Oliver Platt, actor: Ossie Davis, actor: Peter Boyle, actor: Raven-Symoné, actor: Richard Schiff, actor: Steven Gilborn, composer: Richard Gibbs, director: Betty Thomas, director: Russell Boyd","{'genres: Family', 'genres: Fantasy', 'genres: Comedy'}",1998-06-22
Signs,"actor: Abigail Breslin, actor: Cherry Jones, actor: Clifford David, actor: Joaquin Phoenix, actor: Kevin Pires, actor: Lanny Flaherty, actor: M. Night Shyamalan, actor: Marion McCorry, actor: Mel Gibson, actor: Merritt Wever, actor: Michael Showalter, actor: Patricia Kalember, actor: Rhonda Overby, actor: Rory Culkin, actor: Ted Sutton, cinematographer: Brick Mason, composer: James Newton Howard, director: Frank Ferro, director: James C. Feng, director: M. Night Shyamalan, director: Tak Fujimoto, writer: M. Night Shyamalan","{'genres: Thriller', 'genres: Science Fiction', 'genres: Mystery', 'genres: Drama'}",2002-08-02
Shrek 2,"actor: Alina Phelan, actor: Andrew Adamson, actor: Antonio Banderas, actor: Aron Warner, actor: Cameron Diaz, actor: Chris Miller, actor: Christopher Knights, actor: Cody Cameron, actor: Conrad Vernon, actor: David P. Smith, actor: Eddie Murphy, actor: Erika Thomas, actor: Guillaume Aretos, actor: Jennifer Saunders, actor: Joan Rivers, actor: John Cleese, actor: Julie Andrews, actor: Kelly Asbury, actor: Kelly Cooney, actor: Larry King, actor: Latifa Ouaou, actor: Mark Moseley, actor: Mike Myers, actor: Rupert Everett, actor: Wendy Bilanski, composer: Harry Gregson-Williams, director: Andrew Adamson, director: Chung Chan, director: Conrad Vernon, director: Kelly Asbury, director: Trey Thomas","{'genres: Family', 'genres: Animation', 'genres: Adventure', 'genres: Comedy', 'genres: Fantasy'}",2004-05-19
Cars,"actor: Adrian Ochoa, actor: Andrew Stanton, actor: Billy Crystal, actor: Bob Costas, actor: Bonnie Hunt, actor: Cheech Marin, actor: Dale Earnhardt Jr., actor: Darrell Waltrip, actor: Dave Foley, actor: Douglas Keever, actor: E.J. Holowicki, actor: Edie McClurg, actor: Elissa Knight, actor: George Carlin, actor: Guido Quaroni, actor: Humpy Wheeler, actor: Jay Leno, actor: Jenifer Lewis, actor: Jeremy Clarkson, actor: Jeremy Piven, actor: Joe Ranft, actor: John Goodman, actor: John Ratzenberger, actor: Jonas Rivera, actor: Katherine Helmond, actor: Larry Benton, actor: Larry the Cable Guy, actor: Lindsey Collins, actor: Lou Romano, actor: Lynda Petty, actor: Mario Andretti, actor: Michael Keaton, actor: Michael Schumacher, actor: Michael Wallis, actor: Mike Nelson, actor: Owen Wilson, actor: Paul Dooley, actor: Paul Newman, actor: Ray Magliozzi, actor: Richard Kind, actor: Richard Petty, actor: Sarah Clark, actor: Tim Allen, actor: Tom Hanks, actor: Tom Magliozzi, actor: Tony Shalhoub, actor: Vanness Wu, composer: Randy Newman, director: Eben Ostby, director: Jean-Claude Kalache, director: Jeremy Lasky, director: Joe Ranft, director: John Lasseter","{'genres: Family', 'genres: Animation', 'genres: Adventure', 'genres: Comedy'}",2006-06-08
Runaway Bride,"actor: Christopher Meloni, actor: Donal Logue, actor: Héctor Elizondo, actor: Jane Morris, actor: Jean Schertler, actor: Joan Cusack, actor: Julia Roberts, actor: Larry Miller, actor: Laurie Metcalf, actor: Paul Dooley, actor: Reg Rogers, actor: Richard Gere, actor: Rita Wilson, actor: Sandra Taylor, actor: Sela Ward, actor: Shannon Wilcox, actor: Tom Mason, actor: Yul Vazquez, composer: James Newton Howard, director: Garry Marshall, director: Stuart Dryburgh","{'genres: Romance', 'genres: Comedy'}",1999-07-30
xXx,"actor: Asia Argento, actor: Chris Gann, actor: Danny Trejo, actor: David Asman, actor: Eve, actor: Jan Pavel Filipensky, actor: Joe Bucaro III, actor: Leila Arcieri, actor: Martin Hub, actor: Marton Csokas, actor: Michael Roof, actor: Petr Jákl ml., actor: Richy Müller, actor: Samuel L. Jackson, actor: Ted Maynard, actor: Thomas Ian Griffith, actor: Tom Everett, actor: Vin Diesel, actor: Werner Daehn, actor: William Hope, cinematographer: M. James Arnett, composer: Randy Edelman, director: Anthony Caron-Delion, director: Dean Semler, director: Jakub Dvorak, director: Jonathan Lee, director: Milena Koubkova, director: Rob Cohen","{'genres: Thriller', 'genres: Adventure', 'genres: Action'}",2002-08-09
The SpongeBob Movie: Sponge Out of Water,"actor: Amy Lynn Tuttle, actor: Antonio Banderas, actor: April Stewart, actor: Ashley Nicole Hudson, actor: Ashley Siloac, actor: Bailey Campbell, actor: Bill Fagerbakke, actor: Billy West, actor: Brick Jackson, actor: Brody Rose, actor: Carlos Alazraqui, actor: Carolyn Lawrence, actor: Chip Lane, actor: Clancy Brown, actor: Corinne Engstrom, actor: Cree Summer, actor: Dane Northcutt, actor: David Dickson, actor: Dean Neistat, actor: Dee Bradley Baker, actor: Eamon Sheehan, actor: Eddie Deezen, actor: Ella Adele Burns, actor: Epic Lloyd, actor: Eric Bauza, actor: Ezra James Colbert, actor: Henry Davis Morales, actor: Jake Kilfoyle, actor: Jesica Ahlberg, actor: Jill Talley, actor: John Brown, actor: Kari Klinkenborg, actor: Kate Micucci, actor: Keller Moore, actor: Kevin Michael Richardson, actor: Kron Moore, actor: Lillian Ellen Jones, actor: Lisa Datz, actor: Lori Alan, actor: Marian Green, actor: Mark Fite, actor: Mary Jo Catlett, actor: Matt Berry, actor: Matteo Spears Satriano, actor: Meredith Jackson, actor: Mike Benitez, actor: Mr. Lawrence, actor: Nice Peter, actor: Nicolette Noble, actor: Nina Repeta, actor: Noah Lomax, actor: Nolan North, actor: Paul Tibbitt, actor: Riki Lindhome, actor: Rob Paulsen, actor: Rodger Bumpass, actor: Sirena Irwin, actor: Stephen Hillenburg, actor: Thomas F. Wilson, actor: Tim Conway, actor: Tom Kenny, composer: John Debney, director: Carla Rose Ponzio, director: James Baxter, director: Jeffrey Schwartz, director: Kelly Mazurowski, director: Lisa C. Satriano, director: Lynn K. D'Angona, director: Paul Tibbitt, director: Phil Meheux","{'genres: Family', 'genres: Animation', 'genres: Adventure', 'genres: Comedy'}",2015-02-05
Ransom,"actor: A.J. Benza, actor: Allen Bernstein, actor: Anton Evangelista, actor: Brawley Nolte, actor: Carl S. Redding, actor: Cheryl Howard, actor: Christian Maelen, actor: Craig Castaldo, actor: Dan Hedaya, actor: Daniel May Wong, actor: David Vadim, actor: Dell Maara, actor: Delroy Lindo, actor: Donna Hanover, actor: Donnie Wahlberg, actor: Evan Handler, actor: Gary Sinise, actor: Henry Kingi Jr., actor: Iraida Polanco, actor: James Georgiades, actor: James Ritz, actor: Joe Bacino, actor: John Ortiz, actor: José Zúñiga, actor: Kevin Neil McCready, actor: Lex D. Geddings, actor: Liev Schreiber, actor: Lili Taylor, actor: Mel Gibson, actor: Michael Countryman, actor: Michael Gaston, actor: Mick O'Rourke, actor: Mike Hodge, actor: Nancy Ticotin, actor: Paul Guilfoyle, actor: Peter Anthony Tambakis, actor: Rene Russo, actor: Roy Farfel, composer: James Horner, director: Piotr Sobocinski, director: Ron Howard","{'genres: Thriller', 'genres: Action'}",1996-11-08
Inglourious Basterds,"actor: Alex Boden, actor: Alexander Fehling, actor: Andreas Tietz, actor: Andrew Napier, actor: André Penvern, actor: Anne-Sophie Franck, actor: Arndt Schwering-Sohnrey, actor: August Diehl, actor: B. J. Novak, actor: Bea-Marie Rück, actor: Bela B., actor: Bo Svenson, actor: Brad Pitt, actor: Buddy Joe Hooker, actor: Carlos Fidel, actor: Christian Berkel, actor: Christian Brückner, actor: Christoph Waltz, actor: Daniel Brühl, actor: Daniela Schwerdt, actor: Denis Ménochet, actor: Diane Kruger, actor: Eli Roth, actor: Enzo G. Castellari, actor: Eva Löbau, actor: Gedeon Burkhard, actor: Gregory Nicotero, actor: Guido Föhrweißer, actor: Harvey Keitel, actor: Hilmar Eichhorn, actor: Hélène Cardona, actor: Jacky Ido, actor: Jake Garber, actor: Jana Pallaske, actor: Jasper Linnewedel, actor: Julie Dreyfus, actor: Ken Duken, actor: Lena Friedrich, actor: Leo Plank, actor: Ludger Pistor, actor: Léa Seydoux, actor: Martin Wuttke, actor: Michael Bacall, actor: Michael Fassbender, actor: Michael Kranz, actor: Michael Scheel, actor: Mike Myers, actor: Mélanie Laurent, actor: Noemi Besedes, actor: Olivier Girard, actor: Omar Doom, actor: Patrick Elias, actor: Paul Rust, actor: Petra Hartung, actor: Quentin Tarantino, actor: Rainer Bock, actor: Richard Sammel, actor: Rod Taylor, actor: Sabrina Rattey, actor: Salvadore Brandt, actor: Samm Levine, actor: Samuel L. Jackson, actor: Sebastian Hülk, actor: Sylvester Groth, actor: Sönke Möhring, actor: Til Schweiger, actor: Tina Rodriguez, actor: Vitus Wieser, actor: Volker Michalowski, actor: Wilfried Hochholdinger, actor: Wolfgang Lindner, director: Carlos Fidel, director: Quentin Tarantino, director: Robert Richardson, director: Sebastian T. Krawinkel, writer: Quentin Tarantino","{'genres: Thriller', 'genres: War', 'genres: Action', 'genres: Drama'}",2009-08-18
Hook,"actor: Amber Scott, actor: Arthur Malet, actor: Bob Hoskins, actor: Brad Blumenthal, actor: Caroline Goodall, actor: Carrie Fisher, actor: Charlie Korsmo, actor: Dante Basco, actor: David Crosby, actor: Don S. Davis, actor: Dustin Hoffman, actor: Geoffrey Lower, actor: George Lucas, actor: Glenn Close, actor: Gwyneth Paltrow, actor: Isaiah Robinson, actor: Jake Hoffman, actor: James Madio, actor: Jasen Fisher, actor: Jimmy Buffett, actor: Julia Roberts, actor: Kelly Rowan, actor: Maggie Smith, actor: Max Hoffman, actor: Nick Tate, actor: Phil Collins, actor: Regina Russell Banali, actor: Robin Williams, actor: Ryan Francis, actor: Tony Burton, composer: John Williams, director: Dean Cundey, director: Steven Spielberg","{'genres: Family', 'genres: Fantasy', 'genres: Adventure', 'genres: Comedy'}",1991-12-11
Die Hard 2,"actor: Anthony Droz, actor: Art Evans, actor: Ben Lemon, actor: Bob 'Rocky' Cheli, actor: Bonnie Bedelia, actor: Bruce Willis, actor: Charles Lanyer, actor: Colm Meaney, actor: Dale Jacoby, actor: Danial Donai, actor: Danny Weselis, actor: Dennis Franz, actor: Don Charles McGovern, actor: Don Harvey, actor: Franco Nero, actor: Fred Dalton Thompson, actor: Gregg Kovan, actor: Jason Ross-Azikiwe, actor: Jeanne Bates, actor: Jeff Langton, actor: John Amos, actor: John Costelloe, actor: John Leguizamo, actor: Karla Tamburrelli, actor: Ken Baldwin, actor: Mark Boone Junior, actor: Michael Francis Clarke, actor: Mick Cunningham, actor: Patrick O'Neal, actor: Peter Nelson, actor: Reginald VelJohnson, actor: Rob Steinberg, actor: Robert Patrick, actor: Sheila McCarthy, actor: Sherry Bilsing, actor: Steve Pershing, actor: Tom Bower, actor: Tom Everett, actor: Tom Verica, actor: Tony Ganios, actor: Vincent Mazella Jr., actor: Vondie Curtis-Hall, actor: William Atherton, actor: William Sadler, cinematographer: Frank M. Holgate, composer: Michael Kamen, director: Bruce Crone, director: Gayle Simon, director: Oliver Wood, director: Paul Huston, director: Renny Harlin","{'genres: Thriller', 'genres: Action'}",1990-07-02
S.W.A.T.,"actor: Brian Van Holt, actor: Colin Farrell, actor: Denis Arndt, actor: Domenick Lombardozzi, actor: James DuMont, actor: Jeremy Renner, actor: Josh Charles, actor: LL Cool J, actor: Larry Poindexter, actor: Lindsey Ginter, actor: Michelle Rodriguez, actor: Octavia Spencer, actor: Olivier Martinez, actor: Page Kennedy, actor: Reg E. Cathey, actor: Samuel L. Jackson, cinematographer: M. James Arnett, composer: Elliot Goldenthal, director: Clark Johnson, director: Gabriel Beristain, director: Michael Viglietta","{'genres: Thriller', 'genres: Crime', 'genres: Action'}",2003-08-08
Vanilla Sky,"actor: Alicia Witt, actor: Armand Schultz, actor: Cameron Diaz, actor: Ivana Miličević, actor: Jason Lee, actor: Johnny Galecki, actor: Kurt Russell, actor: Michael Shannon, actor: Noah Taylor, actor: Penélope Cruz, actor: Shalom Harlow, actor: Tilda Swinton, actor: Timothy Spall, actor: Tom Cruise, composer: Nancy Wilson, director: Cameron Crowe, director: John Toll","{'genres: Mystery', 'genres: Thriller', 'genres: Science Fiction', 'genres: Romance', 'genres: Drama'}",2001-12-10
Lady in the Water,"actor: Bill Irwin, actor: Bob Balaban, actor: Bryce Dallas Howard, actor: Cindy Cheung, actor: Freddy Rodríguez, actor: Grant Monohon, actor: Jared Harris, actor: Jeffrey Wright, actor: John Boyd, actor: Joseph D. Reitman, actor: M. Night Shyamalan, actor: Mary Beth Hurt, actor: Noah Gray-Cabey, actor: Paul Giamatti, actor: Sarita Choudhury, composer: James Newton Howard, director: Christopher Doyle, director: M. Night Shyamalan","{'genres: Thriller', 'genres: Mystery', 'genres: Fantasy', 'genres: Drama'}",2006-07-21
AVP: Alien vs. Predator,"actor: Adrian Bouchet, actor: Agathe de La Boulaye, actor: Alex Lorre, actor: Andy Lucas, actor: Carsten Norgaard, actor: Carsten Voigt, actor: Colin Salmon, actor: Eoin McCarthy, actor: Ewen Bremner, actor: Glenn Conroy, actor: Ian Whyte, actor: Jan Pavel Filipensky, actor: Joseph Balderrama, actor: Joseph Rye, actor: Karima Adebibe, actor: Kieran Bew, actor: Lance Henriksen, actor: Liz May Brice, actor: Pavel Bezdek, actor: Petr Jákl ml., actor: Raoul Bova, actor: Sam Troughton, actor: Sanaa Lathan, actor: Tom Woodruff Jr., actor: Tommy Flanagan, cinematographer: Bharat Nalluri, composer: Harald Kloser, director: Adam O'Neill, director: David Johnson, director: Jakub Dvorak, director: Mark Bartholomew, director: Paul W.S. Anderson","{'genres: Action', 'genres: Science Fiction', 'genres: Adventure'}",2004-08-12
Alvin and the Chipmunks: The Squeakquel,"actor: Alexandra Shipp, actor: Amy Poehler, actor: Anjelah N. Johnson, actor: Anna Faris, actor: Bridgit Mendler, actor: Brittany Anne Pirtle, actor: Chris Warren, Jr., actor: Christina Applegate, actor: David Cross, actor: Jason Lee, actor: Jesse McCartney, actor: Justin Long, actor: Kathryn Joosten, actor: Kevin G. Schmidt, actor: Matthew Gray Gubler, actor: Wendie Malick, actor: Zachary Levi, composer: David Newman, director: Betty Thomas, writer: Glenn Berger, writer: Jon Vitti, writer: Jonathan Aibel","{'genres: Family', 'genres: Animation', 'genres: Comedy', 'genres: Fantasy', 'genres: Music'}",2009-12-21
We Were Soldiers,"actor: Barry Pepper, actor: Bellamy Young, actor: Ben Allison, actor: Blake Heron, actor: Brendan Ford, actor: Brian Carpenter, actor: Brian Tee, actor: Chris Klein, actor: Clark Gregg, actor: Dan Beene, actor: Daniel Roebuck, actor: Danny Le Boyer, actor: Desmond Harrington, actor: Devon Werkheiser, actor: Dylan Walsh, actor: Erik MacArthur, actor: Forry Smith, actor: George Cheung, actor: Greg Kinnear, actor: Jim Grimshaw, actor: Johnny Trí Nguyễn, actor: Jon Hamm, actor: Jonathan Parks Jordan, actor: Joseph Hieu, actor: Josh Daugherty, actor: Jsu Garcia, actor: Justin Gordon, actor: Keith Szarabajka, actor: Keri Russell, actor: Luke Benward, actor: Madeleine Stowe, actor: Marc Blucas, actor: Mark McCracken, actor: Matt Mangum, actor: Mel Gibson, actor: Michael Tomlinson, actor: Mike White, actor: Patrick St. Esprit, actor: Randy Oglesby, actor: Robert Bagnell, actor: Ryan Hurst, actor: Sam Elliott, actor: Shannon M. Hart, actor: Shepard Koster, actor: Simbi Khali, actor: Sloane Momsen, actor: Stephen Zapotoczny, actor: Steven Nelson, actor: Taylor Momsen, actor: Tim Abell, actor: Vien Hong, actor: Vincent Angell, actor: Will Klipstine, actor: Đơn Dương, composer: Nick Glennie-Smith, director: Allen Kupetsky, director: Daniel T. Dorrance, director: Dean Semler, director: Nilo Otero, director: Randall Wallace","{'genres: History', 'genres: War', 'genres: Action'}",2002-03-01
